"Source:","C:\Users\Aunt Pancake\Google Drive\03 Ventilator\Breeze\Designs\PCBS\pcb\ventilator_shield.sch"
"Date:","4/29/2020 1:06:03 PM"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp-custom.py"
"Component Count:","74"
"Line","Ref","Qnty","Value","Cmp name","Footprint","Description","MFN","MPN","VN","VPN","Flag"
"1","C1, C2, C3, C4, C5, C6, C7, C10, C11, C12, C13, C14, ","12","C","C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Unpolarized capacitor","","","","",""
"2","D1, ","1","BAV70W","BAV70W","Package_TO_SOT_SMD:SOT-323_SC-70","Dual 100V 175mA high-speed switching diodes, common cathode, SOT-323","","","","",""
"3","D2, D3, ","2","BAV756S","BAV756S","Package_TO_SOT_SMD:SOT-363_SC-70-6","High-speed switching diodes, dual common anode/common cathode, SOT-363","","","","",""
"4","F1, F3, ","2","Fuse","Fuse","ventilator-parts:LittelFuse_clips_01110501Z_10mm_fuse","Fuse","","","","",""
"5","J1, ","1","USB_A","USB_A","ventilator-parts:USB_A_TE_Connectivity_292303-1","USB Type A connector","","","","",""
"6","J2, J7, J8, J10, J16, ","5","Conn_01x02","Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","",""
"7","J3, J5, J14, ","3","Conn_01x03","Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","",""
"8","J13, ","1","Conn_01x04","Conn_01x04","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","",""
"9","J17, ","1","Conn_01x06_Male","Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","",""
"10","J18, ","1","Screw_Terminal_01x16","Screw_Terminal_01x16","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-16-3.5-H_1x16_P3.50mm_Horizontal","Generic screw terminal, single row, 01x16, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","",""
"11","J19, J20, ","2","Conn_01x04","Conn_01x04","ventilator-parts:Buck_Converter_Module","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","",""
"12","JP1, JP2, ","2","Jumper_3_Open","Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Jumper, 3-pole, both open","","","","",""
"13","K1, ","1","G6S-2","G6S-2","Relay_SMD:Relay_DPDT_Omron_G6S-2F","Compact, Industry-Standard 2-pole relay, designed to switch 2A Signal Loads, Single-side Stable","","","","",""
